CustomerID,Customer Name,Address,PhoneNumber
SDS-1017,PLA PHARMA DISTRIBUTORS,"NO.2,CHINNAIYA PILLAI STREET,,MARAVANERI, SALEM-636007",4272415789
SDS-1018,SRI AMMAN AMBIGAI AGENCIES,"5/1,UPTAIRS 3rd CROSS, MARAVANERI,SALEM-636007",4272417245
SDS-1019,SENTHIL ENTERPRISES,"1st FLOOR, RK COMPLEX (F-P),209,SECOND AGRAHARAM, SALEM 636 001",2472261695
SDS-1020,SRI VENKATESWARA ENTERPRISES,"45,KASI MUNIAPPAN KOIL STREET,SALEM 636 001",4272260683
SDS-1021,GEETHA PHARMA,"NEW NO.92,96/101,UPSTAIRS,,OPP. TOWN RAILWAY STATION, SALEM-1",4272451801
SDS-1022,SELVA VINAYAGA MEDICALS,"176/477, THIRU VEE KA STREET,,AMMAPET SALEM(DT)-636003",
SDS-1023,SRI VALLI PHARMA SURGICALS,"NEW NO.2/38,OLD NO.17, FIRST FLOOR,,KALAIMAGAL STREET, SWARNAPURI",9994820555
SDS-1024,ALPHA SURGICALS,"NO.14/13A, FIRST FLOOR,,KALAI MAGAL STREET, SWARNAPURI",9787555005
SDS-1025,THARAI MEDICAL AGENCY,"THARAI PULLIKKARAR ILLAM,11/1 BRINDHAVAN 7th STREET, NEAR VASANTHAM HOTEL",4274042847
SDS-1026,KALYANI MEDICALS,"NO.155/188, SECOND AGRAHARAM",4274050662
SDS-1027,SALEM AGENCIES,"4, THIPPU SULTHAN MARKET",4274556454
SDS-1028,SRINIVASA AGENCIES,"14, KALAPPAKARAN STREET,,BALAJI NAGAR",4274299881
SDS-1029,NANDHINI PHARMACEUTICALS,295/128 SECOND AGRAHARAM,4272250141
SDS-1030,FRIENDS PHARMAA,"182/1 ANGAMMAL COLONY,CHINNERI VAYALKADU, PALLAPATTI",9585548062
SDS-1031,"DR G. VIJAYARANI M.B.B.S.,","RAJAMMAL HOSPITAL,464, TVK ROAD, AMMAPET",4272265408
SDS-1032,SRINIVASA MEDICALS,"220/467,T.V.K. ROAD,AMMAPET,",4272265357
SDS-1033,VINAYAGA AGENCIES,"KANNAMAI BUILDING,NO.103/49,2nd AGRAHARAM,SALEM-636 001",4272266114
SDS-1034,RAMYA SRI MEDICALS,"142/1 CUDDALORE MAIN ROAD,AMMAPET, SALEM 636 003",
SDS-1035,PRABU MEDICALS,"D.NO.284, N.NO.528 TVK ROAD",4272241784
SDS-1036,KAVITHA MEDICALS,OLD NO.360/NEW NO.419 TVK ROAD,
SDS-1037,R.R.MEDICALS,"11 MARIAMMAN KOIL STREET,PONNAMMAPET",4272296564
SDS-1038,MURUGAN MEDICAL STORES,"D.NO.222F,SHOP NO.16, SRI VASAVI COMPLEX,TVK ROAD",9965316026
SDS-1039,SRI GANESH MEDICALS,"NEW NO.475,OLD NO.316,TVK ROAD",
SDS-1040,SHANMUGA MEDICAL,"O.NO.387,N.NO.388-1 TVK ROAD",
SDS-1041,BEST PHARMA,"NO.147/153,1ST FLOOR,2ND AGRAHARAM",4274963730
SDS-1042,SANTHI MEDICAL STORES,"196,T.V.K. ROAD",
SDS-1043,SREE ABIRAMI MEDICALS,"188/385, CHAIRMAN RAMALINGAM STREET,AMMAPAET MAIN ROAD",
SDS-1044,KAVI MEDICALS,"9/33A, CUDDALORE MAIN ROAD,UDAYAPATTY POST",
SDS-1045,SRI PERUAMAL MEDICALS,"13/9, VEERANAM MAIN ROAD,PONNAMAPET",
SDS-1046,J.K.AGENCIES,"NO.80,THIYAGI NATESAN STREET -3,AMMAPET",
SDS-1047,SRI VINAYAGA MEDICALS,"6/125, MANNAR PALAYAM X ROAD,ALLIKUTTAI",
SDS-1048,THE SALEM NGGO S CO-OPERATIVE STORES LTD,"NO.1, DR. RAMANATHAN ROAD",
SDS-1049,SALEM DRUGS,"SRI SANTHANA MARIAMMAN TOWERS,NO.5/2, ROYAL GARDEN",4272334203
SDS-1050,PRIME PHARMA SURGICALS,"5/8, FIRST FLOOR, ROYAL GARDENS",9362777705
SDS-1051,SRI KARPAGA VINAYAGA MEDICALS,"1/55 SALEM MAIN ROAD,VEERANAM(Po) SUKKAMPATTY(Via)",
SDS-1052,RAVI MEDICALS 1,54/34 VEERANAM MAIN ROAD,
SDS-1053,RAVI MEDICALS 2,345 PUTHUMARIAMMAN KOVIL STREET (PART),
SDS-1054,SIVA MEDICALS,"6, GROUND FLOOR, SOUTH FACING, CUDDALORE MAIN ROAD,V.O.C.NAGAR,KAMARAJ NAGAR COLONY PO",
SDS-1055,RAJAM MEDICLAS,"64/41,VEERANAM MAIN ROAD,SHOP NO.1 PONNAMAPET",
SDS-1056,RAAJ AGENCY,"20/16-1 D.P.C. LANE,",9894234141
SDS-1057,SRI MURUGAN PHARMACEUTICALS,"NO 37 GROUND AND 1ST FLOOR,KUPPU ST PONNAMMAPET",9944574100
SDS-1058,THIRUVASAGAM PHARMACEUTICALS,"5-A/9, VIJAYARAGAVACHARIAR ROAD",4272316758
SDS-1059,"DR. M.K.RAJENDRAN M.B.B.S., M.S.,","464/224 TVK ROAD,AMMAPET",
SDS-1060,VINAYAGA PHARMA,"NO.22,WEST FACING GROUND AND FIRST FLOOR,KOTTAI SANNATHI STREET",4272214479
SDS-1061,SRI VIMAL PHARMACY,"224/464 TVK ROAD,AMMAPET",
SDS-1062,M/S.SIVA MEDICALS,"256-1, GROUND FLOOR, ROOM NO.1, NORTH EAST CORNER,,SIVA HOSPITAL CAMPUS, TVK STREET PART,",8270861847
SDS-1063,THIRUVARUL PHARMACY,"562/5, CUDDALORE MAIN ROAD,KAMARAJAR NAGAR COLONY",8056974537
SDS-1064,SRI VALLI PHARMA SURGICALS(BR),"438/110,GROUND FLOOR, ANNA STREET,ANGAMMAL COLONY",4273553928
SDS-1065,SRI THIRUMAL PHARMA,"NO.34, ANGALAMMAN KOVIL STREET",9791847562
SDS-1066,SRI SURYA PHARMACEUTICALS,"59/2, NATESAN COLONY,OPP. GOVT ARTS COLLEGE",42724505874
SDS-1067,MEENAKSHI PHARMA DISTRIBUTORS,"14/36,PULIKUTTI 4TH STREET,GUGAI",4272467017
SDS-1068,SRI SRINIVASA AGENCIES,"CHINNATHIRUPAATHY,II ND CROSS, MGR NAGAR",
SDS-1069,SRI SAAI PHARMACY,"NO 20 CUDDALORE MAIN ROAD,NEAR SIVAGAMI AMMAN KOVIL",9345778177
SDS-1070,SHANMUGA PHARMA,"NO.85,RAMNAGAR,,KUMARASAMY PATTY,",9443943157
SDS-1071,KRISH MEDICALS,"102,SHOP NO.2 EAST FACING, GROUN FLOOR,VEERANAM MAIN ROAD ANNA NAGAR, PONNAMMAPET",
SDS-1072,S.K. PHARMA,"NO.36/A2, KALAIMAGAL STREET,,SWARNAPURI , SALEM 4",4272447889
SDS-1073,M K VIJAYAN,"16/23 NO.1 MARKET STREET,AMMAPET",
SDS-1074,GANAPATHY PHARMA,"55-A,BLOCK 5, PERY BUILDING,,SECOND AGRAHARAM",9443288334
SDS-1075,MUTHU MEENA AGENCIES,"155 RAJARAM NAGAR TAMIL SANGAM ROAD,SALEM 636 007",7397706426
SDS-1076,SRI BANNARIAMMAN MEDICAL AGENCIES,"D.N0. 15/3, FURST FLOOR, PLAT NO.2,,PERMANUR EAST STREET, SANKAR NAGAR",4274260474
SDS-1077,SIR PITTY THIYAGARAYA CHETTIAR FREE HOSPITAL,"DR. POORNIMA- 51 MATHAI STREET,,SOWNDAMMAN KOIL (NEAR) AMMAPET SALEM-3",
SDS-1078,SVB PHARMA,"NO.414, SHOP NO.2 SITTAGOUNDAR LINE,,MITTAPUDUR, FAIRLANDS, ALAGAPURAM PUDUR",
SDS-1079,ABI MEDICALS,"NO.10/6, GROUND FLOOR 2ND SHOP,FROM WEST KOIL STREET, PIN 636 116",
SDS-1080,PUGAZH PHARMACY,"394, GROUND FLOOR, T.V.K. ROAD,AMMAPET, SALEM TALUK, SALEM DISTRIC",
SDS-1081,MALIN MEDITECH,"NO.1/103-B, FIRST FLOOR, FATHIMA NAGAR,SANYASIGUNDU, SALEM- 636 015",9344812365
SDS-1082,ALAMU PHARMA,"PERI TOWERS,21-3,PADAYAPPA GARDEN,,ITTERI ROAD, MEYANOOR, SALEM -4",2472448300
SDS-1083,MALIN MEDITECH.,"NO.1/103-B, FIRST FLOOR, FATHIMA NAGAR,SANYASIGUNDU, SALEM -15",9344812365
SDS-1084,PLUS PHARMA SPECIALITY SUPPLIES,"DOOR NO. 426A, EAST FACING, GROUND FLOOR,,TVK STREET (PART), AMMAPETTAI POST,",
SDS-1085,"DR.S.SARAVANAN MBBS.,F.DIAB.,","531, CUDDALORE MAIN ROAD,,AMMAPET , SALEM-636 014",
SDS-1086,VELAN MEDICAL STORES,"1/137, ADIKARIPATTY,UDAYAPATTY",
SDS-1087,KJ PHARMACY,"3/637-B, CUDDALORE MAIN ROAD,,NEAR HOLYCROSS SCHOOL,K.N. COLONY",
SDS-1088,MEDILINE AGENCIES,"GROUND FLOOR AND FIRST FLOOR,216/17 And 216/2 PERAMANUR EAST STREET",
SDS-1089,SRI SAI DISTRIBUTORS,"NO.45 SRIRANGAPALAYAM ROAD,KUMARASAMYPATTI , SALEM -636 007",9942774776
SDS-1090,DR A.SATHEESH KUMAR M.B.B.S,"KARUMBUR STREET,OLD E.B OFFICE, THAMBAMPATTY",
SDS-1091,MEDICINE HOUSE (BR),"N0.265/3 CINEMA NAGAR, ANGAMMAL COLONY,BEHIND NEW BUS STAND, LIEGH BAZAAR POST",9600380338
SDS-1092,"DR.SATHIAN RAGHAVAN MBBS.,MRCP.,S.C.E.,","PRINITH CLINIC 34-D, L B CHETTY STREET,KANNANKURICHI",9385990458
SDS-1093,S.V.P. AGENCIES,"NO.12/16, SARASHWATHI NAGAR,,MOOKKANERI ROAD, CHINNATHIRUPPATHI,",
SDS-1094,AKSHAYA AGENCY,"NO.20,FIRST FLOOR, NORTH FACING,,GOKULAM ROAD, THOPPUKADU,FAIRLANDS",4274041545
SDS-1095,"DR.S.SARAVANADEVI,B.D.S.,","173/43, T.V.K. Road Ammapet,Salem 636003",8056507454
SDS-1096,SRI MURUGAN PHARMA,"NO.283, PUTHU MARIAMMAN KOVIL STREET,AMMPETTAI",
SDS-1097,"DR M.KALAISELVI RAJA MD(GP)DGO,DRM(GER)","RAJAMANIKAM STREET,HASTHAMPATY",
SDS-1098,"DR.SATHISH KUMAR MBBS,FIDM","152/38 KARUNGALPATTY MAIN ROAD,KARUNGALPATTY",
SDS-1099,"DR.S.R.RANI VIJAYAKUMAR MBBS,DCH",AVR CLINIC 3/21 ALAGAPURAM BUS STOP,
SDS-1100,DR.K.THIRUVARUTCHELVAN MD.NEUR,DR.THIRU NEURO MULTI SPECILITY HOSPITAL,
SDS-1101,SREEMAHAALAKSHMI DISTRIBUTOR,"50/478, CHAIRMAN RAMALINGAM STREET,,NEAR PATTAI KOIL, AMMAPET MAIN ROAD",9843205943
SDS-1102,MANI MEDICALS,"DOOR NO.419, NORTH FACING, GROUND FLOOR,,T.V.K. ROAD-PART, AMMAPET POST",
SDS-1103,"PRS PHARMACEUTICALS PVT. LTD.,","NO.9. OLD NO.13-A UDAYAR THOTTAM,MALLAMOOPAMPATTY",4272386687
SDS-1104,ANNAI SOWDESWARI CLINIC,"7/51 METHAI STREET DR. JAIVIGNESH,AMMAPET , SALEM -3",
SDS-1105,SRI SIVA MEDICALS,"25-E, FIRST AGRAHARAM",
SDS-1106,NILA HOSPITAL,"OPP. TO ESWARAN KOIL STREET,SIVTHAPURAM,VEDUGATHAMPATTY 636 307",9003522285
SDS-1107,SRI THIRUMAL PHARMA.,"NO.34, ANGALAMMAN KOIL STREET",
SDS-1108,"DR.P.SAMIKRISHNAN MD,DM-RHEU","SKIHA HOSPITAL, 3, ANNAMALAI NAGAR,SEELANAICKENPATTI",9442155395
SDS-1109,SRI SAI DISTRIBUTORS.,"NO.45, SRIRANGAPALAYAM ROAD,,KUMARASAMYPATTI,",9952663939
SDS-1110,SRI MURUGAN PHARMACY,"D.NO.209, WEST FACING, GROUND FLOOR,,ARISIPALAYAM MAIN ROAD, NARAYANASAMY PURAM",
SDS-1111,JEEVA KAMATCHI PHARMA,"D.NO.154 EAST FACING, GROUND FLOOR,,PERAMANOOR MARIAMMAN KOIL STREET, Z2-HASTHAMPATTY,",
SDS-1112,SRI SIDDHI VINAYAGA PHARMA,"11, EAST FACING, GROUND FLOOR,,7TH CROSS STREET, MARAVANERI",
SDS-1113,R.R.WELLNESS PHARMA,"11,S.NO.3 FROM WEST,SOUTH FACING G.FLOOR,MARIAMMAN KOVIL ST. Z3-AMMAPET, 636 001",
SDS-1114,ZEN MEDICARE,"DOOR NO.51/2 NORTH FACING, SECOND FLOOR,RAJARAM NAGAR, 2ND CROSS, HASTHAMPATTI-POST",
SDS-1115,ZIVIZ PHARMACEUTICALS,"158/1, GROUND FLOOR, A.L. THANGAVEL STREET,,ALAGAPURAM",
SDS-1116,J.K.AGENCIES.,"102,SOUTH EXTENSION, KADALUR MAIN ROAD,AMMPET, SALEM, TAMILNADU 636 003",
