Product Name,Qty,Exclusive Offer
CANDID 1% CREAM - 1S,4,
CANDID 1% POWDER 100G - 1S,8,
CANDID 1% POWDER 50G - 1S,8,
CANDID 1% POWDER 50G - 1S,3,
CANDID B CREAM 10G - 1S,4,
CANDID B CREAM 20G - 1S,3,
CANDID MOUTH PAINT 25ML - 1S,1,
CANDIDERMA PLUS 10G CREAM - 1S,1,
CANDIDERMA PLUS 10G CREAM - 1S,1,
CANDIDERMA PLUS 20G CREAM - 1S,5,
CANDIFORCE 200MG CAPS - 1S,1,
CARDACE METO 5MG - 1S,1,
CARNISURE 500MG - 1S,4,
CARVI BETA 3.125 - 1S,10,
CARZUSTAT C10MG - 1S,2,
CASTOR NF 15G CREAM - 1S,2,
CAVERTA 100MG - 1S,0,
CEFAKIND 250MG TAB - 1S,1,
CEPODEM 200MG TAB - 1S,2,
CEPODEM 200MG TAB - 1S,6,
CEPODEM 50 MG - 1S,3,
CETAPIN XR 500MG TAB - 1S,4,
CETZINE 10MG TAB - 1S,14,
CHERICOF 100ML - 1S,8,
CHERICOF 60ML - 1S,6,
CHERICOF JUNIOR SYP 60ML - 1S,6,
CHERICOF LS JUNIOR SYP 60ML - 1S,4,
CHERICOF LS SYP 100ML - 1S,7,
CHLO EYE ONT - 1S,2,
CHYMORAL FORTE TAB - 1S,1,
CI BEND 400MG TAB - 1S,1,
CIFRAN 250MG - 1S,4,
CILAHEART 10MG TAB - 1S,12,
CINOD 10MG - 1S,2,
CINOD 5MG - 1S,3,
CINOD T TAB - 1S,3,
CIPLADINE ONT 10G - 1S,4,
CIPLADINE ONT 20G - 1S,3,
CIPLADINE ONT 20G - 1S,10,
CIPLAR 40MG TAB - 1S,0,
CIPLOX D EYE DROPS 10ML - 1S,9,
CIPLOX EYE DROPS 10ML - 1S,9,
CIPLOX EYE DROPS 10ML - 1S,1,
CIPLOX TZ TAB - 1S,2,
CIPROFLOXACIN IV 100ML - EURO - 1S,2,
CITRALKA 100ML SYP - 1S,7,
CLAVAM BID DRY SYP 30ML - 1S,2,
CLAVAM BID DRY SYP 30ML - 1S,6,
CLINSOL GEL 15G - 1S,1,
CLOBEN G CRM 5GM - 1S,0,
CLOBETA GM CREAM 10G - 1S,3,
CLOCIP DUSTING POW 75G - 1S,2,
CLOPILET 75MG - 1S,4,
CLOPILET 75MG - 1S,0,
CLOPITAB A 150MG CAPS - 1S,0,
COBADEX CZS TAB - 1S,11,
CODISTAR DX 100ML SYP - 1S,6,
CODISTAR DX 60ML SYP - 1S,0,
COFSAN 100ML SYP - 1S,3,
COLOUR PLUS TAB - 1S,0,
COMBIFLAM MS CREAM 30G - 1S,1,
COMBIFLAM MS CREAM 30G - 1S,1,
COMBIFLAM SUS 60ML - 1S,10,
COMBIFLAM TAB - 1S,4,
COMBISAFE TAB - 1S,4,
COMP.STOC.MID.THIGH CLASS XL 2S - 1S,1,
CONCOR 5MG - 1S,5,
CONCOR COR2.5MG - 1S,0,
COREX DX SYP 100ML - 1S,8,
COREX DX SYP 60ML - 1S,1,
CORIMINIC ORAL DROPS 15ML - 1S,5,
CORIMINIC SYP 60ML - 1S,5,
CORIMINIC XT SYP 100ML - 1S,1,
CORTIL A TAB - 1S,17,
COSCOPIN PLUS 100ML SYS - 1S,5,
COTTON 100GM - 1S,2,
COTTON 25GM - 1S,4,
COTTON 400GM - 1S,9,
COTTON 50GM - 1S,2,
CREMA ANO 20G - 1S,1,
CREMAFFIN MINT 225ML SYP - 1S,5,
CREMAFFIN MIX FRU 225ML SYP - 1S,2,
CREMAFFIN MIX FRU 225ML SYP - 1S,4,
CREMAFFIN PLUS SYP 225ML - 1S,9,
CRESTOR 5MG - 1S,1,
CRINA NCR 10MG - 1S,0,
CRINA NCR 15MG - 1S,0,
CUTIES SOAP 75G - 1S,2,
CWIN CREAM - 1S,1,
CYCLOPAM SYP 60ML - 1S,4,
CYCLOPAM TAB - 1S,5,
CYPON 15ML DROPS - 1S,1,
CYSTONE FORTE TABLETS 15S - 1S,112,
CYSTONE SYRUP 200ML - 1S,28,
CYSTONE TABLETS 60S - 1S,6,
CYSTONE TABLETS 60S - 1S,100,
D3 MUST 2K TAB - 1S,2,
DAPA CAD 10MG - 1S,2,
DAPAMAC V 10/100 - 1S,0,
DAPZIGARD 10MG - 1S,1,
DEBISTAL GM 2 TAB - 1S,3,
DEC 100MG TAB - 1S,12,
DEFYCOF SYP 100ML - 1S,2,
DELCON LIQ 60ML - 1S,9,
DELCON TAB - 1S,36,
DELCON TAB - 1S,16,
DEPLATT 75MG TAB - 1S,5,
DEPLATT CV 10MG CAPS - 1S,5,
DERIPHYLLIN INJ - 1S,28,
DERIPHYLLIN RETARD 300MG - 1S,5,
DERIPHYLLIN RTD 150MG TAB - 1S,3,
DERMADEW ACNE SOAP 75G - 1S,2,
DERMADEW B BAR SOAP 75G - 1S,1,
DERMI 5 CRM 15GM - 1S,0,
DEXALAB 2ML INJ - 1S,10,
DEXAMETHASONE - DEMISONE 0.5MG - 1S,8,
DEXAMETHASONE TAB 100S - 1S,12,
DEXLIFE (D25) 100ML INJ - 1S,5,
DEXORANGE CAPS - 1S,4,
DEXOREN S EYE DROPS 5ML - 1S,0,
DFO 4X GEL 50G - 1S,1,
DFO GEL 30GM - 1S,10,
DFO GEL 50G - 1S,0,
DFO RED LINIMENT 50ML - 1S,1,
DIABECON DS 60S - 1S,50,
DIABETROL TAB - 1S,30,
DIABETROL TAB - 1S,4,
DIANORM M TAB - 1S,11,
DIANORM M TAB - 1S,8,
DIATAAL CAP - 1S,3,
DIBIZIDE M TAB - 1S,19,
DIBIZIDE M TAB - 1S,20,
DICLOFEN INJ 3ML - 1S,85,
DICLOWIN PLUS TAB - 1S,8,
DIGENE GEL MINT 200ML - 1S,7,
DIGENE ORANGE TAB - 1S,30,
DIGNITY ADULT PANTS L-XL - 1S,1,
DILNIP 5MG - 1S,6,
DILZEM 30MG TAB - 1S,0,
DIPSALIC F ONT 20G - 1S,1,
DIPSALIC F ONT 20G - 1S,5,
DISPO VAN 10ML - 1S,20,
DISPO VAN 10ML - 1S,250,
DISPO VAN 2.5ML 24G - 1S,50,
DISPO VAN 2.5ML 24G - 1S,200,
DISPO VAN 20ML - 1S,5,
DISPO VAN 3ML 24G - 1S,190,
DISPO VAN 3ML 24G - 1S,100,
DISPO VAN NEEDLE 18G - 1S,200,
DISPO VAN NEEDLE 20G - 1S,100,
DISPO VAN NEEDLE 22G - 1S,190,
DISPO VAN NEEDLE 22G - 1S,100,
DISPO VAN NEEDLE 23G - 1S,100,
DISPO VAN NEEDLE 24G - 1S,40,
DISPO VAN NEEDLE 26G/0.5 - 1S,200,
DIZONE 250MG - 1S,12,
DOLO SYP 250MG - 1S,3,
DOLONEX DT 20MG TAB - 1S,4,
DOLOPAR 250MG SYP 60ML - 1S,3,
DOLOPAR TAB - 1S,12,
DOLOPAR TAB - 1S,6,
DOLOWIN PLUS TAB - 1S,2,
DOXOLIN 200MG - 1S,2,
DOXOLIN 400MG TAB - 1S,2,
DP GESIC TAB - 1S,5,
DREZ POWDER 40G - 1S,0,
DROTIN DS TAB - 1S,5,
DUCAINE FORTE SYP 200ML - 1S,6,
DUCAINE SYP 120ML - 1S,0,
DULCOFLEX TAB - 1S,45,
DUOLIN 3 RESPULES - 1S,25,
DUPHALAC LEMON 150ML SOL - 1S,3,
DUPHALAC LEMON 150ML SOL - 1S,1,
DUPHALAC LEMON 250ML - 1S,2,
DYDROBOON 10MG TAB - 1S,1,
DYNAPAR QPS SPRAY 30ML - 1S,1,
DYTOR PLUS 10MG TAB - 1S,4,
EASY BATH XL - 1S,3,
EASY FIX MEDIUM - 1S,95,
EBAST 20MG TAB - 1S,1,
ECONORM .765G SACHET - 1S,11,
ECONORM CAPS - 1S,4,
ECOSPRIN 75 - 1S,25,
ECOSPRIN AV 75 - 1S,8,
ECOSPRIN AV 75/20 - 1S,5,
ECOSPRIN GOLD 10 - 1S,1,
ECOSPRIN GOLD 10 - 1S,4,
ECOSPRIN GOLD 10 - 1S,3,
ECOSPRIN GOLD 20 - 1S,4,
ELDOPER CAPS - 1S,9,
ELECTRAL ORANGE 21.8GM - 1S,10,
ELECTRAL SACHET 21.80G - 1S,15,
ELECTRAL SACHET 21.80G - 1S,30,
ELECTROBION POWDER 21GM - 1S,40,
ELTROXIN 100MG - 1S,4,
ELTROXIN 25MG - 1S,3,
ELTROXIN 50MG - 1S,5,
ELTROXIN 75MG - 1S,1,
ELTROXIN 75MG - 1S,3,
EMBETA XR 50MG - 1S,1,
EMCREMA PLUS SYP 200ML - 1S,1,
EMESET 4MG TAB - 1S,6,
EMESET 8MG - 1S,5,
EMESET SYP 30ML - 1S,1,
EMESET SYP 30ML - 1S,5,
EMTY SOLUTION 150ML - 1S,1,
ENCORATE CHRONO 300MG - 1S,0,
ENCORATE CHRONO 300MG - 1S,0,
ENCORATE CHRONO 500MG - 1S,0,
ENVAS 2.5MG TAB - 1S,2,
ENVAS 2.5MG TAB - 1S,8,
ENVAS 2.5MG TAB - 1S,6,
ENVAS 5MG TAB - 1S,10,
EPIDOSIN INJ 1ML - 1S,20,
EPIFAST 500MG - 1S,6,
EPITRA RTU 500MG/100ML IV - 1S,0,
EPTUS 25MG - 1S,5,
EQUIREX TAB - 1S,3,
ERYTHROMYCIN 500MG - 1S,3,
ERYTHROMYCIN 500MG - 1S,5,
ESGIPYRIN TAB - 1S,1,
ESGIPYRIN TAB - 1S,6,
EUCALYPTUS OIL 100ML - 1S,3,
EUCALYPTUS OIL 15ML - 1S,24,
EUCALYPTUS OIL 20ML - 1S,12,
EUCALYPTUS OIL 50ML - 1S,1,
EUGLIM 4MG - 1S,3,
EVECARE CAPSULES 30S - 1S,100,
EVECARE SYPUP 200ML - 1S,82,
EVION 400MG CAPS - 1S,5,
EVION 600MG CAP - 1S,1,
FEBUSTAT 40MG - 1S,0,
FEBUSWAS 40MG - 1S,0,
FEBUTAZ 40MG TAB - 1S,3,
FENLONG GEL 15G - 1S,2,
FENLONG MR LINIMENT 30ML - 1S,60,
FENLONG MR ROLLON - 1S,59,
FENLONG ROLL ON - 1S,54,
FEPANIL 250MG SYP 60ML - 1S,6,
FESTIVE EYE DROPS 10ML - 1S,3,
FEVASTIN INJ 2ML - 1S,5,
FIBROVAS TAB - 1S,0,
FLAGYL 400MG - 1S,10,
FLAVEDON MR - 1S,0,
FLOMIST NASAL SPRAY - 1S,1,
FLOMIST NASAL SPRAY - 1S,1,
FLUCORT CREAM 20G - 1S,1,
FLUR EYE DROPS 10ML - 1S,1,
FLUVIR 75ML SUSPENSION - 1S,3,
FML EYE DROPS - 1S,2,
FOLEY CATHETER 16G(RUSCH) - 1S,2,
FOLEY CATHETER 18G(RUSCH) - 1S,1,
FOLEY CATHETER 3WAY 20G - 1S,5,
FOLEY TRAC 14G (ROMSONS) - 1S,3,
FOLEY TRAC 20G(ROMSONS) - 1S,3,
FOLLIHAIR TAB - 1S,1,
FOOTMARK CREAM 15G - 1S,4,
FORACORT 100MG ROTACAPS - 1S,2,
FORACORT 200 INHALER - 1S,1,
FOURDERM AF 5G CREAM - 1S,4,
FOURTS B TAB - 1S,5,
FREELEX SYP 170ML - 1S,1,
FRUSELAC DS TAB - 1S,0,
FULFIL FORTE CAPS - 1S,0,
GABA CAD TAB - 1S,6,
GABAGESIC GEL 50G - 1S,0,
GABANTIN NT 100MG - 1S,1,
GABANTIN NT 100MG - 1S,0,
GALIREX SYP 100ML - 1S,6,
GALIREX SYP 50ML - 1S,4,
GALITZ D TAB - 1S,3,
GALITZ D TAB - 1S,5,
GALVUS 50MG - 1S,1,
GALVUSMET 50/500MG TAB - 1S,2,
GARLIC PLUS CAPS - 1S,1,
GASEX TAB 100S - 1S,300,
GASEX TAB 100S - 1S,9,
GASTICA DROPS 15ML - 1S,0,
GAVISCON LIQ 150ML - 1S,7,
GELIXTA 300MG TAB - 1S,11,
GELUSIL MPS SY 200ML - 1S,16,
GELUSIL MPS SY 400ML - 1S,1,
GELUSIL MPS TAB - 1S,18,
GEMER 2MG TAB - 1S,5,
GEMER P1MG TAB - 1S,3,
GENTALAB 2ML INJ - 1S,10,
GENTOSON PLUS EYE DROPS - 1S,0,
GERIFORTE SYRUP 200ML - 1S,28,
GERIFORTE TABLETS 60S - 1S,50,
GINKOCER 40MG TAB - 1S,0,
GLICSAAN 80MG - 1S,14,
GLIMI DM PLUS - 1S,13,
GLIMSAFE 2MG TAB - 1S,4,
GLIMY 1MG TAB - 1S,4,
GLIMY 1MG TAB - 1S,4,
GLIMY 1MG TAB - 1S,10,
GLIMY 2MG - 1S,4,
GLIMY 2MG - 1S,5,
GLIPTAGREAT M 500MG - 1S,10,
GLOVES DISPO SOFT HANDS MEDIUM - 1S,3,
GLOVES DISPO SOFT HANDS MEDIUM - 1S,1,
GLOVES DISPO SOFT HANDS MEDIUM - 1S,1,
GLOVES DISPO SOFT HANDS MEDIUM - 1S,3,
GLUCOBAY 25MG TAB - 1S,6,
GLUCOBAY 25MG TAB - 1S,10,
GLUCOBAY M 25 TAB - 1S,5,
GLUCOBAY M 50 MG - 1S,4,
GLUCOBEAT 500XR - 1S,10,
GLUCOBEAT G1MG - 1S,0,
GLUCONORM SR 500MG - 1S,0,
GLUXIT TRIO 10/100/500MG TAB - 1S,0,
GLYCIDAY M 30MG - 1S,2,
GLYCINORM 40MG TAB - 1S,10,
GLYCINORM 80MG TAB - 1S,1,
GLYCINORM M 60 OD - 1S,1,
GLYCINORM M80 MG - 1S,9,
GLYCIPHAGE 500MG - 1S,16,
GLYCIPHAGE VG2 MG TAB - 1S,0,
GLYCOMET 250MG TAB - 1S,4,
GLYCOMET GP1 TAB - 1S,10,
GLYCOMET GP4 FORTE - 1S,0,
GLYCOMET SR 500MG TAB - 1S,6,
GLYFLORIS 10MG - 1S,6,
GLYFLORIS 5MG - 1S,0,
GLYFLORIS S 10/100 TAB - 1S,7,
GLYNASE 5MG TAB - 1S,18,
GLYNASE MF TAB - 1S,30,
GLYNASE XL 5MG - 1S,0,
GLYPTEN M - 1S,3,
GLYSEB SOAP 75G - 1S,2,
GODMET G2 - 1S,0,
GP 0.5MG - 1S,7,
GP 1MG - 1S,0,
GP 2MG - 1S,0,
GRENIL TAB - 1S,2,
GRENIL TAB - 1S,6,
GTN SORBITRATE CR 2.6MG - 1S,1,
GUDCEF 100MG - 1S,8,
GUDCEF 200MG - 1S,4,
GUDCEF CV 200MG - 1S,5,
GUDLAX PLUS SYP 200ML - 1S,4,
GUMTONE POWDER 40G - 1S,1,
GUTSAVE 40MG TAB - 1S,1,
GUTSAVE 40MG TAB - 1S,15,
GUTSAVE DSR CAP - 1S,6,
GYNAE CVP CAP - 1S,0,
HAEM UP LIQ 200ML - 1S,1,
HALF NS 500ML CLARIS - 1S,28,
HEAM UP GEMS 30S - 1S,1,
HEFCARD 100MG TAB - 1S,0,
HEMFER SYRUP 225ML - 1S,1,
HERBOLAX CAP 10S - 1S,100,
HERPERAX ONT 15G - 1S,3,
HERPIKIND 400MG - 1S,1,
HICET TAB - 1S,5,
HIM ADULT DIAPER L 10S - 1S,1,
HIM ADULT DIAPER PANT XL 10S - 1S,2,
HIPRES 50MG - 1S,10,
HISTAFREE 120 - 1S,11,
HUMAN ACTRAPID 40 IU 10ML - 1S,1,
HUMAN ACTRAPID 40 IU 10ML - 1S,3,
HUMAN INSULATARD 40 IU 10ML - 1S,2,
HUMAN INSULATARD 40 IU 10ML - 1S,3,
HUMAN MIXTARD 40 IU 10ML - 1S,2,
HUMAN MIXTARD 40 IU 10ML - 1S,5,
HUMAN MIXTARD 50/50 40 IU 10ML - 1S,8,
HUMINSULIN 30/70 40 IU 10ML - 1S,8,
HUMINSULIN 50/50 40U 10ML - 1S,5,
HUMINSULIN 50/50 40U 10ML - 1S,10,
HUMINSULIN N 40 IU 10ML - 1S,1,
HUMINSULIN R 100 IU VIAL - 1S,0,
HUMINSULIN R 100 IU VIAL - 1S,0,
HUMINSULIN R 40 IU 10ML - 1S,1,
HYDENT K 100G TOOTH PASTE - 1S,2,
HYDROGEN PEROXIDE SOLU 100ML - 1S,2,
HYDROGEN PEROXIDE SOLU 450ML - 1S,3,
HYDROHEAL AM 50G - 1S,1,
HYOKEM INJ 1ML - 1S,35,
I V SET ROMSONS - INFUSION - 1S,8,
I V SET ROMSONS - INFUSION - 1S,50,
IBUGESIC PLUS SYP 100ML - 1S,7,
IBUGESIC PLUS SYP 60ML - 1S,1,
IBUGESIC PLUS SYP 60ML - 1S,10,
IMOL PLUS TAB - 1S,1,
IMOL PLUS TAB - 1S,10,
IMOL PLUS TAB - 1S,20,
IMPHACOBIN - B12 VIAL - 1S,1,
IMPHACOBIN - B12 VIAL - 1S,10,
IMPHADEX 30ML VIAL - 1S,10,
IMPHAPLEX B COMPLEX INJ 30ML - 1S,7,
INCREVIL M 50/500 - 1S,2,
INCREVIL M 50/500 - 1S,10,
INDERAL 10MG - 1S,10,
INDERAL 40MG - 1S,2,
INFRARED THERMOMETER-EVERYCOM - 1S,1,
INSUGEN 30/70 40IU VIAL - 1S,1,
INSUGEN 30/70 40IU VIAL - 1S,1,
IODINE TINCURE 20ML - 1S,12,
ISMO 10MG - 1S,9,
ISRYL 1MG TAB - 1S,0,
ISTAMET 50/500 TAB - 1S,3,
ISTAMET 50/500 TAB - 1S,2,
IVREA 0.5% SHAMPOO 30ML - 1S,10,
JUSLINA 5MG - 1S,1,
JUVIANA PLUS CAP - 1S,0,
K BIND POWDER 15G - 1S,0,
K MAC SOLUTION 200ML - 1S,4,
K MAC UTI SYP 210ML - 1S,3,
KARVOL PLUS CAPS - 1S,5,
KEFPOD 200MG - 1S,1,
KENACORT ONT 7.5G - 1S,1,
KETANOV 1ML AMPOULE - 1S,1,
KETANOV 1ML AMPOULE - 1S,10,
KETO ADD - 1S,0,
KETO SOAP 100G - 1S,1,
KETO SOAP 100G - 1S,4,
KETO SOAP 50G - 1S,9,
KETO TV SOAP 75G - 1S,2,
KETOBA 75GM SOAP - 1S,3,
KETOROL DT TAB - 1S,5,
KIDODENT TOOTHBRUSH - 1S,1,
KOFLET H LOZENGES - 1S,160,
KZ SOAP 75GM - 1S,1,
LACTIHEP PLUS EMULSION 250ML - 1S,2,
LARIAGO 250MG TAB - 1S,14,
LARITEL 40MG - 1S,4,
LARITEL 40MG - 1S,3,
LASIX 40MG TAB - 1S,1,
LECOPE M - 1S,6,
LEGASY M 75MG - 1S,1,
LEVEPSY 500MG - 1S,4,
LEVIGRESS 500MG - 1S,0,
LEVIPIL 500MG - 1S,5,
LEVIPIL RTU 500MG INFUSION 100ML - 1S,10,
LEVOFLOX 500MG IV - 1S,2,
LEVOLIN 0.31MG RESPULES - 1S,48,
LEVOLIN 0.31MG RESPULES - 1S,2,
LEVOLIN 0.63 RESPULES - 1S,6,
LEVOLIN 0.63 RESPULES - 1S,3,
LEVOLIN INHALER - 1S,1,
LEVOLIN SYP 100ML - 1S,4,
LIBOTRYP DS TAB - 1S,3,
LIBRIUM 10MG TAB - 1S,5,
LIBRIUM 10MG TAB - 1S,7,
LIBRIUM 25MG TAB - 1S,1,
LIMCEE CHEW TAB - 1S,20,
LIPIAID CV TAB - 1S,1,
LIPICURE GOLD 40MG - 1S,0,
LIPIKIND CV 20MG - 1S,1,
LIPIROSE F 10MG - 1S,3,
